,DataSet,Sample,Pos,Calls_num,Meth_num,Percent_Methylated,feature
43,Rapid-CNS,103596,131265246,2,0,0,Promoter
44,Rapid-CNS,103596,131265254,4,0,0,Promoter
45,Rapid-CNS,103596,131265272,4,0,0,Promoter
46,Rapid-CNS,103596,131265275,4,0,0,Promoter
47,Rapid-CNS,103596,131265278,4,0,0,Promoter
48,Rapid-CNS,103596,131265281,3,0,0,Promoter
49,Rapid-CNS,103596,131265294,4,0,0,Promoter
50,Rapid-CNS,103596,131265297,3,0,0,Promoter
51,Rapid-CNS,103596,131265302,3,0,0,Promoter
52,Rapid-CNS,103596,131265306,4,1,25,Promoter
53,Rapid-CNS,103596,131265310,2,0,0,Promoter
54,Rapid-CNS,103596,131265321,3,0,0,Promoter
55,Rapid-CNS,103596,131265330,3,0,0,Promoter
56,Rapid-CNS,103596,131265337,3,0,0,Promoter
57,Rapid-CNS,103596,131265348,3,0,0,Promoter
58,Rapid-CNS,103596,131265354,4,0,0,Promoter
59,Rapid-CNS,103596,131265356,4,0,0,Promoter
60,Rapid-CNS,103596,131265358,4,0,0,Promoter
61,Rapid-CNS,103596,131265363,4,0,0,Promoter
62,Rapid-CNS,103596,131265369,4,0,0,Promoter
63,Rapid-CNS,103596,131265375,4,0,0,Promoter
64,Rapid-CNS,103596,131265377,4,0,0,Promoter
65,Rapid-CNS,103596,131265379,3,0,0,Promoter
66,Rapid-CNS,103596,131265404,5,0,0,Promoter
67,Rapid-CNS,103596,131265410,4,0,0,Promoter
68,Rapid-CNS,103596,131265415,4,1,25,Promoter
69,Rapid-CNS,103596,131265427,5,0,0,Promoter
70,Rapid-CNS,103596,131265434,5,1,20,Promoter
71,Rapid-CNS,103596,131265437,5,1,20,Promoter
72,Rapid-CNS,103596,131265446,3,1,33.3333333333333,Promoter
73,Rapid-CNS,103596,131265455,5,0,0,Promoter
74,Rapid-CNS,103596,131265461,5,1,20,Promoter
75,Rapid-CNS,103596,131265467,5,1,20,Promoter
76,Rapid-CNS,103596,131265469,4,0,0,Promoter
77,Rapid-CNS,103596,131265474,4,1,25,Promoter
78,Rapid-CNS,103596,131265493,5,1,20,Promoter
79,Rapid-CNS,103596,131265495,5,1,20,Promoter
80,Rapid-CNS,103596,131265506,4,0,0,Exon1
81,Rapid-CNS,103596,131265513,5,0,0,Exon1
82,Rapid-CNS,103596,131265518,5,0,0,Exon1
83,Rapid-CNS,103596,131265521,3,0,0,Exon1
84,Rapid-CNS,103596,131265525,5,1,20,Exon1
85,Rapid-CNS,103596,131265535,6,0,0,Exon1
86,Rapid-CNS,103596,131265537,6,0,0,Exon1
87,Rapid-CNS,103596,131265542,6,0,0,Exon1
88,Rapid-CNS,103596,131265547,5,0,0,Exon1
89,Rapid-CNS,103596,131265553,3,0,0,Exon1
90,Rapid-CNS,103596,131265574,5,0,0,Intron1
91,Rapid-CNS,103596,131265579,5,0,0,Intron1
92,Rapid-CNS,103596,131265585,5,1,20,Intron1
93,Rapid-CNS,103596,131265595,4,0,0,Intron1
94,Rapid-CNS,103596,131265608,5,0,0,Intron1
95,Rapid-CNS,103596,131265613,5,0,0,Intron1
96,Rapid-CNS,103596,131265625,6,0,0,Intron1
97,Rapid-CNS,103596,131265641,5,0,0,Intron1
98,Rapid-CNS,103596,131265652,5,0,0,Intron1
99,Rapid-CNS,103596,131265655,4,0,0,Intron1
100,Rapid-CNS,103596,131265658,4,1,25,Intron1
101,Rapid-CNS,103596,131265670,5,0,0,Intron1
102,Rapid-CNS,103596,131265691,5,0,0,Intron1
103,Rapid-CNS,103596,131265695,5,0,0,Intron1
104,Rapid-CNS,103596,131265708,5,0,0,Intron1
105,Rapid-CNS,103596,131265746,4,0,0,Intron1
106,Rapid-CNS,103596,131265773,4,0,0,Intron1
107,Rapid-CNS,103596,131265795,4,0,0,Intron1
108,Rapid-CNS,103596,131265802,4,0,0,Intron1
109,Rapid-CNS,103596,131265809,2,0,0,Intron1
110,Rapid-CNS,103596,131265851,4,0,0,Intron1
111,Rapid-CNS,103596,131265858,3,0,0,Intron1
112,Rapid-CNS,103596,131265897,3,0,0,Intron1
113,Rapid-CNS,103596,131265932,4,0,0,Intron1
114,Rapid-CNS,103596,131265934,4,0,0,Intron1
115,Rapid-CNS,103596,131266093,4,2,50,Intron1
116,Rapid-CNS,103850,131264785,2,2,100,Promoter
117,Rapid-CNS,103850,131264819,1,1,100,Promoter
118,Rapid-CNS,103850,131264839,2,2,100,Promoter
119,Rapid-CNS,103850,131264845,2,2,100,Promoter
120,Rapid-CNS,103850,131264876,2,2,100,Promoter
121,Rapid-CNS,103850,131264926,1,1,100,Promoter
122,Rapid-CNS,103850,131264948,2,2,100,Promoter
123,Rapid-CNS,103850,131264950,2,2,100,Promoter
124,Rapid-CNS,103850,131264955,1,1,100,Promoter
125,Rapid-CNS,103850,131264964,2,2,100,Promoter
126,Rapid-CNS,103850,131264970,2,2,100,Promoter
127,Rapid-CNS,103850,131264975,2,2,100,Promoter
128,Rapid-CNS,103850,131264985,1,1,100,Promoter
129,Rapid-CNS,103850,131265001,2,2,100,Promoter
130,Rapid-CNS,103850,131265005,2,2,100,Promoter
131,Rapid-CNS,103850,131265008,2,1,50,Promoter
132,Rapid-CNS,103850,131265015,2,2,100,Promoter
133,Rapid-CNS,103850,131265022,2,2,100,Promoter
134,Rapid-CNS,103850,131265024,2,2,100,Promoter
135,Rapid-CNS,103850,131265026,2,2,100,Promoter
136,Rapid-CNS,103850,131265042,2,2,100,Promoter
137,Rapid-CNS,103850,131265048,1,0,0,Promoter
138,Rapid-CNS,103850,131265058,1,0,0,Promoter
139,Rapid-CNS,103850,131265066,2,2,100,Promoter
140,Rapid-CNS,103850,131265070,2,2,100,Promoter
141,Rapid-CNS,103850,131265072,2,2,100,Promoter
142,Rapid-CNS,103850,131265100,2,1,50,Promoter
143,Rapid-CNS,103850,131265136,1,1,100,Promoter
144,Rapid-CNS,103850,131265151,2,1,50,Promoter
145,Rapid-CNS,103850,131265154,2,1,50,Promoter
146,Rapid-CNS,103850,131265158,2,0,0,Promoter
147,Rapid-CNS,103850,131265168,2,1,50,Promoter
148,Rapid-CNS,103850,131265172,2,1,50,Promoter
149,Rapid-CNS,103850,131265184,2,0,0,Promoter
150,Rapid-CNS,103850,131265193,2,0,0,Promoter
151,Rapid-CNS,103850,131265205,2,0,0,Promoter
152,Rapid-CNS,103850,131265208,2,0,0,Promoter
153,Rapid-CNS,103850,131265214,2,0,0,Promoter
154,Rapid-CNS,103850,131265228,2,0,0,Promoter
155,Rapid-CNS,103850,131265231,2,0,0,Promoter
156,Rapid-CNS,103850,131265236,2,0,0,Promoter
157,Rapid-CNS,103850,131265239,2,0,0,Promoter
158,Rapid-CNS,103850,131265246,2,0,0,Promoter
159,Rapid-CNS,103850,131265254,2,0,0,Promoter
160,Rapid-CNS,103850,131265272,2,0,0,Promoter
161,Rapid-CNS,103850,131265275,2,0,0,Promoter
162,Rapid-CNS,103850,131265278,2,0,0,Promoter
163,Rapid-CNS,103850,131265281,1,0,0,Promoter
164,Rapid-CNS,103850,131265294,2,0,0,Promoter
165,Rapid-CNS,103850,131265297,2,0,0,Promoter
166,Rapid-CNS,103850,131265302,2,0,0,Promoter
167,Rapid-CNS,103850,131265306,2,0,0,Promoter
168,Rapid-CNS,103850,131265310,2,0,0,Promoter
169,Rapid-CNS,103850,131265321,2,0,0,Promoter
170,Rapid-CNS,103850,131265330,0,0,NA,Promoter
171,Rapid-CNS,103850,131265337,2,0,0,Promoter
172,Rapid-CNS,103850,131265348,2,0,0,Promoter
173,Rapid-CNS,103850,131265354,2,0,0,Promoter
174,Rapid-CNS,103850,131265356,2,0,0,Promoter
175,Rapid-CNS,103850,131265358,2,0,0,Promoter
176,Rapid-CNS,103850,131265363,2,0,0,Promoter
177,Rapid-CNS,103850,131265369,1,1,100,Promoter
178,Rapid-CNS,103850,131265375,2,0,0,Promoter
179,Rapid-CNS,103850,131265377,2,0,0,Promoter
180,Rapid-CNS,103850,131265379,2,0,0,Promoter
181,Rapid-CNS,103850,131265404,1,0,0,Promoter
182,Rapid-CNS,103850,131265410,2,0,0,Promoter
183,Rapid-CNS,103850,131265415,2,0,0,Promoter
184,Rapid-CNS,103850,131265427,2,0,0,Promoter
185,Rapid-CNS,103850,131265434,2,0,0,Promoter
186,Rapid-CNS,103850,131265437,2,0,0,Promoter
187,Rapid-CNS,103850,131265446,2,0,0,Promoter
188,Rapid-CNS,103850,131265455,2,0,0,Promoter
189,Rapid-CNS,103850,131265461,2,1,50,Promoter
190,Rapid-CNS,103850,131265467,2,0,0,Promoter
191,Rapid-CNS,103850,131265469,2,0,0,Promoter
192,Rapid-CNS,103850,131265474,1,0,0,Promoter
193,Rapid-CNS,103850,131265493,2,0,0,Promoter
194,Rapid-CNS,103850,131265495,1,0,0,Promoter
195,Rapid-CNS,103850,131265506,2,1,50,Exon1
196,Rapid-CNS,103850,131265513,2,0,0,Exon1
197,Rapid-CNS,103850,131265518,2,0,0,Exon1
198,Rapid-CNS,103850,131265521,2,0,0,Exon1
199,Rapid-CNS,103850,131265525,2,0,0,Exon1
200,Rapid-CNS,103850,131265535,2,0,0,Exon1
201,Rapid-CNS,103850,131265537,2,0,0,Exon1
202,Rapid-CNS,103850,131265542,2,1,50,Exon1
203,Rapid-CNS,103850,131265547,2,0,0,Exon1
204,Rapid-CNS,103850,131265553,2,1,50,Exon1
205,Rapid-CNS,103850,131265574,2,0,0,Intron1
206,Rapid-CNS,103850,131265579,2,0,0,Intron1
207,Rapid-CNS,103850,131265585,2,0,0,Intron1
208,Rapid-CNS,103850,131265595,0,0,NA,Intron1
209,Rapid-CNS,103850,131265608,0,0,NA,Intron1
210,Rapid-CNS,103850,131265613,2,1,50,Intron1
211,Rapid-CNS,103850,131265625,2,0,0,Intron1
212,Rapid-CNS,103850,131265641,2,1,50,Intron1
213,Rapid-CNS,103850,131265652,1,0,0,Intron1
214,Rapid-CNS,103850,131265655,2,0,0,Intron1
215,Rapid-CNS,103850,131265658,2,0,0,Intron1
216,Rapid-CNS,103850,131265670,2,0,0,Intron1
217,Rapid-CNS,103850,131265691,1,0,0,Intron1
218,Rapid-CNS,103850,131265695,2,0,0,Intron1
219,Rapid-CNS,103850,131265708,2,1,50,Intron1
220,Rapid-CNS,103850,131265746,2,1,50,Intron1
221,Rapid-CNS,103850,131265773,2,1,50,Intron1
222,Rapid-CNS,103850,131265795,2,1,50,Intron1
223,Rapid-CNS,103850,131265802,1,0,0,Intron1
224,Rapid-CNS,103850,131265809,2,1,50,Intron1
225,Rapid-CNS,103850,131265851,1,0,0,Intron1
226,Rapid-CNS,103850,131265858,0,0,NA,Intron1
227,Rapid-CNS,103850,131265897,2,1,50,Intron1
228,Rapid-CNS,103850,131265932,2,1,50,Intron1
229,Rapid-CNS,103850,131265934,2,1,50,Intron1
230,Rapid-CNS,103850,131266093,1,1,100,Intron1
231,Rapid-CNS,127068,131264785,23,23,100,Promoter
232,Rapid-CNS,127068,131264819,22,6,27.2727272727273,Promoter
233,Rapid-CNS,127068,131264839,23,6,26.0869565217391,Promoter
234,Rapid-CNS,127068,131264845,25,23,92,Promoter
235,Rapid-CNS,127068,131264876,19,18,94.7368421052632,Promoter
236,Rapid-CNS,127068,131264926,20,19,95,Promoter
237,Rapid-CNS,127068,131264948,25,2,8,Promoter
238,Rapid-CNS,127068,131264950,24,2,8.33333333333333,Promoter
239,Rapid-CNS,127068,131264955,20,2,10,Promoter
240,Rapid-CNS,127068,131264964,23,7,30.4347826086957,Promoter
241,Rapid-CNS,127068,131264970,24,5,20.8333333333333,Promoter
242,Rapid-CNS,127068,131264975,23,3,13.0434782608696,Promoter
243,Rapid-CNS,127068,131264985,20,1,5,Promoter
244,Rapid-CNS,127068,131265001,22,3,13.6363636363636,Promoter
245,Rapid-CNS,127068,131265005,23,1,4.34782608695652,Promoter
246,Rapid-CNS,127068,131265008,24,0,0,Promoter
247,Rapid-CNS,127068,131265015,22,0,0,Promoter
248,Rapid-CNS,127068,131265022,23,2,8.69565217391304,Promoter
249,Rapid-CNS,127068,131265024,24,1,4.16666666666667,Promoter
250,Rapid-CNS,127068,131265026,22,0,0,Promoter
251,Rapid-CNS,127068,131265042,24,0,0,Promoter
252,Rapid-CNS,127068,131265048,23,0,0,Promoter
253,Rapid-CNS,127068,131265058,24,1,4.16666666666667,Promoter
254,Rapid-CNS,127068,131265066,20,1,5,Promoter
255,Rapid-CNS,127068,131265070,23,0,0,Promoter
256,Rapid-CNS,127068,131265072,21,0,0,Promoter
257,Rapid-CNS,127068,131265100,22,0,0,Promoter
258,Rapid-CNS,127068,131265136,22,0,0,Promoter
259,Rapid-CNS,127068,131265151,24,0,0,Promoter
260,Rapid-CNS,127068,131265154,22,0,0,Promoter
261,Rapid-CNS,127068,131265158,20,1,5,Promoter
262,Rapid-CNS,127068,131265168,19,0,0,Promoter
263,Rapid-CNS,127068,131265172,21,1,4.76190476190476,Promoter
264,Rapid-CNS,127068,131265184,18,0,0,Promoter
265,Rapid-CNS,127068,131265193,22,0,0,Promoter
266,Rapid-CNS,127068,131265205,21,0,0,Promoter
267,Rapid-CNS,127068,131265208,22,1,4.54545454545455,Promoter
268,Rapid-CNS,127068,131265214,16,3,18.75,Promoter
269,Rapid-CNS,127068,131265228,23,0,0,Promoter
270,Rapid-CNS,127068,131265231,21,0,0,Promoter
271,Rapid-CNS,127068,131265236,23,0,0,Promoter
272,Rapid-CNS,127068,131265239,22,0,0,Promoter
273,Rapid-CNS,127068,131265246,21,0,0,Promoter
274,Rapid-CNS,127068,131265254,21,0,0,Promoter
275,Rapid-CNS,127068,131265272,20,0,0,Promoter
276,Rapid-CNS,127068,131265275,21,1,4.76190476190476,Promoter
277,Rapid-CNS,127068,131265278,21,2,9.52380952380952,Promoter
278,Rapid-CNS,127068,131265281,16,1,6.25,Promoter
279,Rapid-CNS,127068,131265294,20,0,0,Promoter
280,Rapid-CNS,127068,131265297,22,0,0,Promoter
281,Rapid-CNS,127068,131265302,21,0,0,Promoter
282,Rapid-CNS,127068,131265306,23,0,0,Promoter
283,Rapid-CNS,127068,131265310,20,0,0,Promoter
284,Rapid-CNS,127068,131265321,17,0,0,Promoter
285,Rapid-CNS,127068,131265330,11,1,9.09090909090909,Promoter
286,Rapid-CNS,127068,131265337,20,2,10,Promoter
287,Rapid-CNS,127068,131265348,15,1,6.66666666666667,Promoter
288,Rapid-CNS,127068,131265354,21,0,0,Promoter
289,Rapid-CNS,127068,131265356,23,1,4.34782608695652,Promoter
290,Rapid-CNS,127068,131265358,23,1,4.34782608695652,Promoter
291,Rapid-CNS,127068,131265363,23,0,0,Promoter
292,Rapid-CNS,127068,131265369,19,0,0,Promoter
293,Rapid-CNS,127068,131265375,21,0,0,Promoter
294,Rapid-CNS,127068,131265377,22,0,0,Promoter
295,Rapid-CNS,127068,131265379,23,1,4.34782608695652,Promoter
296,Rapid-CNS,127068,131265404,24,0,0,Promoter
297,Rapid-CNS,127068,131265410,23,0,0,Promoter
298,Rapid-CNS,127068,131265415,22,0,0,Promoter
299,Rapid-CNS,127068,131265427,23,2,8.69565217391304,Promoter
300,Rapid-CNS,127068,131265434,21,0,0,Promoter
301,Rapid-CNS,127068,131265437,22,0,0,Promoter
302,Rapid-CNS,127068,131265446,24,0,0,Promoter
303,Rapid-CNS,127068,131265455,22,1,4.54545454545455,Promoter
304,Rapid-CNS,127068,131265461,22,1,4.54545454545455,Promoter
305,Rapid-CNS,127068,131265467,17,0,0,Promoter
306,Rapid-CNS,127068,131265469,20,0,0,Promoter
307,Rapid-CNS,127068,131265474,15,0,0,Promoter
308,Rapid-CNS,127068,131265493,21,1,4.76190476190476,Promoter
309,Rapid-CNS,127068,131265495,21,0,0,Promoter
310,Rapid-CNS,127068,131265506,21,0,0,Exon1
311,Rapid-CNS,127068,131265513,23,0,0,Exon1
312,Rapid-CNS,127068,131265518,21,1,4.76190476190476,Exon1
313,Rapid-CNS,127068,131265521,23,2,8.69565217391304,Exon1
314,Rapid-CNS,127068,131265525,21,1,4.76190476190476,Exon1
315,Rapid-CNS,127068,131265535,19,0,0,Exon1
316,Rapid-CNS,127068,131265537,23,0,0,Exon1
317,Rapid-CNS,127068,131265542,24,2,8.33333333333333,Exon1
318,Rapid-CNS,127068,131265547,23,1,4.34782608695652,Exon1
319,Rapid-CNS,127068,131265553,22,1,4.54545454545455,Exon1
320,Rapid-CNS,127068,131265574,24,0,0,Intron1
321,Rapid-CNS,127068,131265579,22,0,0,Intron1
322,Rapid-CNS,127068,131265585,12,1,8.33333333333333,Intron1
323,Rapid-CNS,127068,131265595,18,3,16.6666666666667,Intron1
324,Rapid-CNS,127068,131265608,17,1,5.88235294117647,Intron1
325,Rapid-CNS,127068,131265613,24,1,4.16666666666667,Intron1
326,Rapid-CNS,127068,131265625,23,0,0,Intron1
327,Rapid-CNS,127068,131265641,24,5,20.8333333333333,Intron1
328,Rapid-CNS,127068,131265652,19,2,10.5263157894737,Intron1
329,Rapid-CNS,127068,131265655,19,2,10.5263157894737,Intron1
330,Rapid-CNS,127068,131265658,15,3,20,Intron1
331,Rapid-CNS,127068,131265670,24,15,62.5,Intron1
332,Rapid-CNS,127068,131265691,23,1,4.34782608695652,Intron1
333,Rapid-CNS,127068,131265695,23,1,4.34782608695652,Intron1
334,Rapid-CNS,127068,131265708,20,3,15,Intron1
335,Rapid-CNS,127068,131265746,22,3,13.6363636363636,Intron1
336,Rapid-CNS,127068,131265773,20,18,90,Intron1
337,Rapid-CNS,127068,131265795,22,16,72.7272727272727,Intron1
338,Rapid-CNS,127068,131265802,23,19,82.6086956521739,Intron1
339,Rapid-CNS,127068,131265809,16,3,18.75,Intron1
340,Rapid-CNS,127068,131265851,18,0,0,Intron1
341,Rapid-CNS,127068,131265858,18,2,11.1111111111111,Intron1
342,Rapid-CNS,127068,131265897,23,18,78.2608695652174,Intron1
343,Rapid-CNS,127068,131265932,21,19,90.4761904761905,Intron1
344,Rapid-CNS,127068,131265934,19,17,89.4736842105263,Intron1
345,Rapid-CNS,127068,131266093,18,13,72.2222222222222,Intron1
346,Rapid-CNS,127160,131264785,13,13,100,Promoter
347,Rapid-CNS,127160,131264819,16,5,31.25,Promoter
348,Rapid-CNS,127160,131264839,19,4,21.0526315789474,Promoter
349,Rapid-CNS,127160,131264845,17,16,94.1176470588235,Promoter
350,Rapid-CNS,127160,131264876,14,14,100,Promoter
351,Rapid-CNS,127160,131264926,11,9,81.8181818181818,Promoter
352,Rapid-CNS,127160,131264948,18,5,27.7777777777778,Promoter
353,Rapid-CNS,127160,131264950,17,4,23.5294117647059,Promoter
354,Rapid-CNS,127160,131264955,11,3,27.2727272727273,Promoter
355,Rapid-CNS,127160,131264964,18,7,38.8888888888889,Promoter
356,Rapid-CNS,127160,131264970,17,9,52.9411764705882,Promoter
357,Rapid-CNS,127160,131264975,17,1,5.88235294117647,Promoter
358,Rapid-CNS,127160,131264985,16,0,0,Promoter
359,Rapid-CNS,127160,131265001,17,1,5.88235294117647,Promoter
360,Rapid-CNS,127160,131265005,19,0,0,Promoter
361,Rapid-CNS,127160,131265008,18,0,0,Promoter
362,Rapid-CNS,127160,131265015,17,0,0,Promoter
363,Rapid-CNS,127160,131265022,17,0,0,Promoter
364,Rapid-CNS,127160,131265024,18,0,0,Promoter
365,Rapid-CNS,127160,131265026,16,0,0,Promoter
366,Rapid-CNS,127160,131265042,12,0,0,Promoter
367,Rapid-CNS,127160,131265048,15,0,0,Promoter
368,Rapid-CNS,127160,131265058,17,0,0,Promoter
369,Rapid-CNS,127160,131265066,16,0,0,Promoter
370,Rapid-CNS,127160,131265070,16,0,0,Promoter
371,Rapid-CNS,127160,131265072,14,0,0,Promoter
372,Rapid-CNS,127160,131265100,16,0,0,Promoter
373,Rapid-CNS,127160,131265136,15,1,6.66666666666667,Promoter
374,Rapid-CNS,127160,131265151,17,2,11.7647058823529,Promoter
375,Rapid-CNS,127160,131265154,16,0,0,Promoter
376,Rapid-CNS,127160,131265158,16,1,6.25,Promoter
377,Rapid-CNS,127160,131265168,15,0,0,Promoter
378,Rapid-CNS,127160,131265172,14,0,0,Promoter
379,Rapid-CNS,127160,131265184,10,0,0,Promoter
380,Rapid-CNS,127160,131265193,15,2,13.3333333333333,Promoter
381,Rapid-CNS,127160,131265205,17,0,0,Promoter
382,Rapid-CNS,127160,131265208,17,1,5.88235294117647,Promoter
383,Rapid-CNS,127160,131265214,10,1,10,Promoter
384,Rapid-CNS,127160,131265228,16,0,0,Promoter
385,Rapid-CNS,127160,131265231,16,0,0,Promoter
386,Rapid-CNS,127160,131265236,16,1,6.25,Promoter
387,Rapid-CNS,127160,131265239,16,0,0,Promoter
388,Rapid-CNS,127160,131265246,14,0,0,Promoter
389,Rapid-CNS,127160,131265254,14,1,7.14285714285714,Promoter
390,Rapid-CNS,127160,131265272,15,0,0,Promoter
391,Rapid-CNS,127160,131265275,16,0,0,Promoter
392,Rapid-CNS,127160,131265278,14,0,0,Promoter
393,Rapid-CNS,127160,131265281,13,0,0,Promoter
394,Rapid-CNS,127160,131265294,16,0,0,Promoter
395,Rapid-CNS,127160,131265297,16,0,0,Promoter
396,Rapid-CNS,127160,131265302,15,0,0,Promoter
397,Rapid-CNS,127160,131265306,15,0,0,Promoter
398,Rapid-CNS,127160,131265310,14,0,0,Promoter
399,Rapid-CNS,127160,131265321,12,0,0,Promoter
400,Rapid-CNS,127160,131265330,12,1,8.33333333333333,Promoter
401,Rapid-CNS,127160,131265337,12,2,16.6666666666667,Promoter
402,Rapid-CNS,127160,131265348,12,1,8.33333333333333,Promoter
403,Rapid-CNS,127160,131265354,15,0,0,Promoter
404,Rapid-CNS,127160,131265356,17,0,0,Promoter
405,Rapid-CNS,127160,131265358,15,0,0,Promoter
406,Rapid-CNS,127160,131265363,13,0,0,Promoter
407,Rapid-CNS,127160,131265369,17,0,0,Promoter
408,Rapid-CNS,127160,131265375,15,0,0,Promoter
409,Rapid-CNS,127160,131265377,16,0,0,Promoter
410,Rapid-CNS,127160,131265379,15,0,0,Promoter
411,Rapid-CNS,127160,131265404,16,0,0,Promoter
412,Rapid-CNS,127160,131265410,17,0,0,Promoter
413,Rapid-CNS,127160,131265415,18,2,11.1111111111111,Promoter
414,Rapid-CNS,127160,131265427,16,0,0,Promoter
415,Rapid-CNS,127160,131265434,17,0,0,Promoter
416,Rapid-CNS,127160,131265437,14,0,0,Promoter
417,Rapid-CNS,127160,131265446,16,1,6.25,Promoter
418,Rapid-CNS,127160,131265455,17,1,5.88235294117647,Promoter
419,Rapid-CNS,127160,131265461,15,2,13.3333333333333,Promoter
420,Rapid-CNS,127160,131265467,16,0,0,Promoter
421,Rapid-CNS,127160,131265469,18,0,0,Promoter
422,Rapid-CNS,127160,131265474,13,2,15.3846153846154,Promoter
423,Rapid-CNS,127160,131265493,15,0,0,Promoter
424,Rapid-CNS,127160,131265495,15,1,6.66666666666667,Promoter
425,Rapid-CNS,127160,131265506,14,0,0,Exon1
426,Rapid-CNS,127160,131265513,18,1,5.55555555555556,Exon1
427,Rapid-CNS,127160,131265518,12,0,0,Exon1
428,Rapid-CNS,127160,131265521,15,0,0,Exon1
429,Rapid-CNS,127160,131265525,16,1,6.25,Exon1
430,Rapid-CNS,127160,131265535,16,0,0,Exon1
431,Rapid-CNS,127160,131265537,16,1,6.25,Exon1
432,Rapid-CNS,127160,131265542,18,0,0,Exon1
433,Rapid-CNS,127160,131265547,18,1,5.55555555555556,Exon1
434,Rapid-CNS,127160,131265553,15,3,20,Exon1
435,Rapid-CNS,127160,131265574,16,1,6.25,Intron1
436,Rapid-CNS,127160,131265579,18,0,0,Intron1
437,Rapid-CNS,127160,131265585,8,0,0,Intron1
438,Rapid-CNS,127160,131265595,15,0,0,Intron1
439,Rapid-CNS,127160,131265608,14,1,7.14285714285714,Intron1
440,Rapid-CNS,127160,131265613,17,1,5.88235294117647,Intron1
441,Rapid-CNS,127160,131265625,19,0,0,Intron1
442,Rapid-CNS,127160,131265641,17,0,0,Intron1
443,Rapid-CNS,127160,131265652,16,1,6.25,Intron1
444,Rapid-CNS,127160,131265655,15,0,0,Intron1
445,Rapid-CNS,127160,131265658,17,4,23.5294117647059,Intron1
446,Rapid-CNS,127160,131265670,16,0,0,Intron1
447,Rapid-CNS,127160,131265691,13,0,0,Intron1
448,Rapid-CNS,127160,131265695,17,1,5.88235294117647,Intron1
449,Rapid-CNS,127160,131265708,19,4,21.0526315789474,Intron1
450,Rapid-CNS,127160,131265746,17,2,11.7647058823529,Intron1
451,Rapid-CNS,127160,131265773,18,16,88.8888888888889,Intron1
452,Rapid-CNS,127160,131265795,17,12,70.5882352941177,Intron1
453,Rapid-CNS,127160,131265802,15,14,93.3333333333333,Intron1
454,Rapid-CNS,127160,131265809,11,8,72.7272727272727,Intron1
455,Rapid-CNS,127160,131265851,10,0,0,Intron1
456,Rapid-CNS,127160,131265858,13,2,15.3846153846154,Intron1
457,Rapid-CNS,127160,131265897,15,3,20,Intron1
458,Rapid-CNS,127160,131265932,16,4,25,Intron1
459,Rapid-CNS,127160,131265934,16,2,12.5,Intron1
460,Rapid-CNS,127160,131266093,17,7,41.1764705882353,Intron1
